Country Code,Country Name,Year,GDP Growth,Investment,Education Expenditure,Productivity Growth
LTU,Lithuania,2011,6.32363664821298,22.3672029077554,5.15469980239868,5.52
LTU,Lithuania,2012,4.38290584355157,20.2704080461532,4.78232002258301,2.03
LTU,Lithuania,2013,4.04691318575325,20.4182900930827,4.62416982650757,2.2
LTU,Lithuania,2014,3.7725437958099,20.3004773754029,4.5076699256897,1.47
LTU,Lithuania,2015,2.83280643343234,22.5552269115381,4.21646022796631,0.74
LTU,Lithuania,2016,2.67192215053329,20.2876398712687,4.01143980026245,0.56
LTU,Lithuania,2017,4.61224310312809,20.480115803004,3.81236004829407,4.79
LTU,Lithuania,2018,4.91836780106811,22.4066386338902,3.85628008842468,2.56
LUX,Luxembourg,2001,3.07427520210337,22.2117941157897,3.53973007202148,-3.01
LUX,Luxembourg,2012,1.64971134354685,18.7523048822473,3.87815999984741,-2.71
LUX,Luxembourg,2014,2.62308838097542,19.0935860222457,3.85569000244141,1.69
LUX,Luxembourg,2015,2.26836572735107,18.9585060879567,3.76792001724243,1.69
LUX,Luxembourg,2017,1.31711942298405,18.8897175502242,3.48645997047424,-1.58
LUX,Luxembourg,2018,1.61129891211624,16.9949135422123,3.65772008895874,-0.61
MLT,Malta,2002,2.74113503379645,17.512829769875,4.15744018554688,2.7
MLT,Malta,2004,0.407354423655889,23.5801228472506,4.430260181427,0.07
MLT,Malta,2007,5.03640177981643,22.5228776793051,5.95993995666504,1.71
MLT,Malta,2008,4.41059689827608,22.2299767218029,5.47429990768433,0.78
MLT,Malta,2009,-1.39524956144803,21.2352843365613,5.04781007766724,-2.5
MLT,Malta,2010,6.19734978656928,21.8643918682215,6.20798015594482,1.78
MLT,Malta,2011,0.992201768011597,17.5046050197968,7.57771015167236,-1.59
MLT,Malta,2012,4.10167460261891,19.2733850981835,6.24788999557495,0.0
MLT,Malta,2013,6.29233378116625,17.0987627782599,7.40672016143799,0.77
MLT,Malta,2014,7.6313628225042,15.9078608339013,6.84973001480103,3.16
MLT,Malta,2015,9.62070302842181,23.4549259783373,4.91352987289429,6.5
MLT,Malta,2016,4.07800422216982,21.940176272756,4.95570993423462,1.34
